".scenario.id",".at","mh.scrninterv.start","mh.txinterv.start","mdd.diag.gen.prob_1","mdd.diag.gen.prob_2","mddscrnuptk.pstat.prob","mddscrnuptk.pind.prob","mdd.txinit.prob.reg_1","mdd.txinit.prob.reg_2","mdd.txinit.prob.reg_3","mdd.txinit.prob.prep_1","mdd.txinit.prob.prep_2","mdd.txinit.prob.prep_3","prep.start.prob_1","prep.start.prob_2","prep.start.prob_3","tx.init.rate_1","tx.init.rate_2","tx.init.rate_3","tx.reinit.partial.rate_1","tx.reinit.partial.rate_2","tx.reinit.partial.rate_3"
"c114_0.571_0.5_base",3901,3901,Inf,0.571,0.571,0,0.571,0.5,0.5,0.5,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c115_0.643_0.5_base",3901,3901,Inf,0.643,0.643,0,0.643,0.5,0.5,0.5,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c116_0.714_0.5_base",3901,3901,Inf,0.714,0.714,0,0.714,0.5,0.5,0.5,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c117_0.786_0.5_base",3901,3901,Inf,0.786,0.786,0,0.786,0.5,0.5,0.5,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c118_0.857_0.5_base",3901,3901,Inf,0.857,0.857,0,0.857,0.5,0.5,0.5,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c119_0.929_0.5_base",3901,3901,Inf,0.929,0.929,0,0.929,0.5,0.5,0.5,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c120_1_0.5_base",3901,3901,Inf,1,1,0,1,0.5,0.5,0.5,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c121_0_0.571_base",3901,3901,Inf,0,0,0,0,0.571,0.571,0.571,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c122_0.071_0.571_base",3901,3901,Inf,0.071,0.071,0,0.071,0.571,0.571,0.571,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c123_0.143_0.571_base",3901,3901,Inf,0.143,0.143,0,0.143,0.571,0.571,0.571,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c124_0.214_0.571_base",3901,3901,Inf,0.214,0.214,0,0.214,0.571,0.571,0.571,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c125_0.286_0.571_base",3901,3901,Inf,0.286,0.286,0,0.286,0.571,0.571,0.571,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
